Character,Field,Value
Daniel Osbourne,Born,4th January 1995
Daniel Osbourne,Birthplace,Weatherfield
Daniel Osbourne,Residence,19a Victoria Street
Daniel Osbourne,Father,Ken Barlow
Daniel Osbourne,Mother,Denise Osbourne
Daniel Osbourne,Sibling(s),Lawrence Cunningham (half-brother)Peter Barlow (half-brother)Susan Barlow (half-sister)Tracy McDonald (adoptive half-sister)
Daniel Osbourne,Spouse(s),Sinead Tinker (2019)
Daniel Osbourne,Children,Bertie Osbourne (2019)
Daniel Osbourne,First appearance,4th January 1995
Daniel Osbourne,Duration,"1995-1997, 2007, 2016 to present"
Daniel Osbourne,Number of appearances,1173 (as of Episode 11557/8)
Daniel Osbourne,Played by,Lewis Harney (1995-1997)Dominic Holmes (2007)Rob Mallard (2016 to present)
Sunita Alahan,Occupation,Shop assistant
Sunita Alahan,Born,1978
Sunita Alahan,Died,3rd April 2013
Sunita Alahan,Father,Suresh Parekh
Sunita Alahan,Mother,Mena Parekh
Sunita Alahan,Sibling(s),Jayesh Parekh
Sunita Alahan,Spouse(s),Dev Alahan (2004)
Sunita Alahan,Children,Aadi Alahan (2006)Asha Alahan (2006)
Sunita Alahan,First appearance,21st March 2001
Sunita Alahan,Last appearance,3rd April 2013
Sunita Alahan,Duration,"2001-2006, 2009-2013"
Sunita Alahan,Number of appearances,757
Sunita Alahan,Played by,Shobna Gulati
Umed Alahan,Occupation,Shop owner
Umed Alahan,Residence,India
Umed Alahan,Sibling(s),Ranjiv Alahan
Umed Alahan,First appearance,9th March 2009
Umed Alahan,Last appearance, 16th October 2009
Umed Alahan,Duration,2009
Umed Alahan,Number of appearances,42
Umed Alahan,Played by,Harish Patel
Scooter Makuna,Born,c.1985
Scooter Makuna,Residence,Regent Street
Scooter Makuna,First appearance,26th January 2005
Scooter Makuna,Last appearance,6th November 2005
Scooter Makuna,Duration,2005
Scooter Makuna,Number of appearances,50
Scooter Makuna,Played by,Sushil Chudasama
Doreen Heavey,Occupation,Beautician
Doreen Heavey,Born,13th January 1953
Doreen Heavey,Residence,2 Douglas Road
Doreen Heavey,Sibling(s),Valerie
Doreen Heavey,Spouse(s),Derek Heavey (1972)
Doreen Heavey,Children,Maxine Heavey (1975)
Doreen Heavey,First appearance,2nd July 1999
Doreen Heavey,Last appearance,8th November 2004
Doreen Heavey,Duration,"1999, 2002-2003, 2004"
Doreen Heavey,Number of appearances,75
Doreen Heavey,Played by,Prunella Gee
Grace Vickers,Children,Glory Bailey (2021)
Grace Vickers,First appearance,20th November 2019
Grace Vickers,Last appearance,16th March 2022
Grace Vickers,Duration,2019-2022
Grace Vickers,Number of appearances,80
Grace Vickers,Played by,Kate Spencer
Charlie Moffitt,Occupation,Comedian
Charlie Moffitt,First appearance,20th May 1964
Charlie Moffitt,Last appearance,15th December 1965
Charlie Moffitt,Duration,1964-1965
Charlie Moffitt,Number of appearances,101
Charlie Moffitt,Played by,Gordon Rollings
Vernon Tomlin,Occupation,Musician
Vernon Tomlin,Residence,London
Vernon Tomlin,Spouse(s),Liz McDonald (2007)
Vernon Tomlin,First appearance,2nd December 2005
Vernon Tomlin,Last appearance,22nd September 2008
Vernon Tomlin,Duration,2005-2008
Vernon Tomlin,Number of appearances,238
Vernon Tomlin,Played by,Ian Reddington
Izzy Armstrong,Occupation,Machinist at Underworld
Izzy Armstrong,Born,24th January 1986
Izzy Armstrong,Residence,28 Grayling Street
Izzy Armstrong,Father,Owen Armstrong
Izzy Armstrong,Mother,Linda Hancock
Izzy Armstrong,Sibling(s),Katy Armstrong
Izzy Armstrong,Children,Jake Windass (2013)
Izzy Armstrong,First appearance,16th April 2010
Izzy Armstrong,Duration,2010 to present
Izzy Armstrong,Number of appearances,865 (as of Episode 11557/8)
Izzy Armstrong,Played by,Cherylee Houston
Anna Windass,Occupation,Waitress  Cleaner
Anna Windass,Born,30th May 1967
Anna Windass,Residence,Durham
Anna Windass,Sibling(s),A brother
Anna Windass,Spouse(s),Eddie Windass (common-law)
Anna Windass,Children,"Gary Windass (1986)  Faye Windass (adoptive, 2011)"
Anna Windass,First appearance,14th November 2008
Anna Windass,Last appearance,1st June 2018
Anna Windass,Duration,2008-2018
Anna Windass,Number of appearances,1059
Anna Windass,Played by,Debbie Rush
Amy Barlow,Occupation,Waitress at Viaduct Bistro
Amy Barlow,Born,9th February 2004
Amy Barlow,Birthplace,Weatherfield General
Amy Barlow,Residence,1 Coronation Street
Amy Barlow,Father,Steve McDonald
Amy Barlow,Mother,Tracy Barlow
Amy Barlow,Sibling(s),Emma Brooker (half-sister)Ruairi McDonald (half-brother)Oliver Battersby (half-brother)
Amy Barlow,First appearance,9th February 2004
Amy Barlow,Duration,2004 to present
Amy Barlow,Number of appearances,1164 (as of Episode 11557/8)
Amy Barlow,Played by,"Holly Bowyer (2004)Rebecca Pike (2004-2005)Louisa Morris (2005)Rachel & Sarah Corker (2005)Madison Hampson (2005-2006)Amber Chadwick (2004, 2006-2010)Elle Mulvaney (2010 to present)"
Dev Alahan,Occupation,"Owner of the Corner Shop, Prima Doner and For Your Fries Only"
Dev Alahan,Born,2nd March 1964
Dev Alahan,Residence,7 Coronation Street
Dev Alahan,Father,Ranjiv Alahan
Dev Alahan,Mother,Urmila Alahan
Dev Alahan,Spouse(s),Sunita Parekh (2004)
Dev Alahan,Children,ShareenAmber Kalirai (1991)Aadi Alahan (2006)Asha Alahan (2006)Two other children
Dev Alahan,First appearance,10th November 1999
Dev Alahan,Duration,1999 to present
Dev Alahan,Number of appearances,2063 (as of Episode 11557/8)
Dev Alahan,Played by,Jimmi Harkishin
Percy Sugden,Occupation,Caretaker (retired)
Percy Sugden,Born,8th April 1922
Percy Sugden,Birthplace,Weatherfield
Percy Sugden,Residence,Mayfield Court
Percy Sugden,Sibling(s),Millie Prior
Percy Sugden,Spouse(s),Mary Jackson (1946)
Percy Sugden,First appearance,22nd August 1983
Percy Sugden,Last appearance,20th October 1997
Percy Sugden,Duration,1983-1997
Percy Sugden,Number of appearances,982
Percy Sugden,Played by,Bill Waddington
Elsie Tanner,Occupation,Retail clerk
Elsie Tanner,Born,5th March 1923
Elsie Tanner,Birthplace,"18 Gas Street,Weatherfield"
Elsie Tanner,Died,c.2004
Elsie Tanner,Father,Arthur Grimshaw
Elsie Tanner,Mother,Alice Grimshaw
Elsie Tanner,Sibling(s),Fay ButlerPhyllis BaileyEthel GrimshawConnie GrimshawIris GrimshawFreda GrimshawNancy GrimshawPolly GrimshawJack Grimshaw  Unnamed stillborn brother
Elsie Tanner,Spouse(s),Arnold Tanner (1939)Stephen Tanner (1967)Alan Howard (1970) William Gregory (1984)
Elsie Tanner,Children,Linda Tanner (1940)Dennis Tanner (1942)
Elsie Tanner,First appearance,9th December 1960
Elsie Tanner,Last appearance,4th January 1984
Elsie Tanner,Duration,"1960-1973, 1976-1984"
Elsie Tanner,Number of appearances,1606
Elsie Tanner,Played by,Patricia Phoenix
Fiona Middleton,Occupation,Hairdresser
Fiona Middleton,Born,2nd December 1975
Fiona Middleton,Residence,"Melbourne, Australia"
Fiona Middleton,Father,Clive Middleton
Fiona Middleton,Mother,Pam Middleton
Fiona Middleton,Sibling(s),Lee Middleton  An older sister
Fiona Middleton,Spouse(s),John Brooker
Fiona Middleton,Children,Morgan Middleton (1998)  Emma Brooker (1999)
Fiona Middleton,First appearance,14th December 1992
Fiona Middleton,Last appearance,21st August 2019
Fiona Middleton,Duration,"1992-1998, 2019"
Fiona Middleton,Number of appearances,493
Fiona Middleton,Played by,Angela Griffin
Jenny Connor,Occupation,Part-time counter staff at The Kabin
Jenny Connor,Born,4th March 1971
Jenny Connor,Residence,10a Coronation Street
Jenny Connor,Father,Alan Bradley
Jenny Connor,Mother,Pat Bradley
Jenny Connor,Spouse(s),Gregory Midgeley  Johnny Connor (2017)
Jenny Connor,Children,Tom Midgeley (2008)
Jenny Connor,First appearance,6th January 1986
Jenny Connor,Duration,"1986-1991, 1993, 2015, 2016 to present"
Jenny Connor,Number of appearances,1390 (as of Episode 11557/8)
Jenny Connor,Played by,Sally Ann Matthews
Paul Connor,Occupation,Businessman
Paul Connor,Born,1969
Paul Connor,Died,6th June 2007
Paul Connor,Father,Barry Connor
Paul Connor,Mother,Helen Connor
Paul Connor,Sibling(s),Liam Connor  Michelle Connor
Paul Connor,Spouse(s),Carla Donovan (1999)
Paul Connor,First appearance,6th September 2006
Paul Connor,Last appearance,6th June 2007
Paul Connor,Duration,2006-2007
Paul Connor,Number of appearances,103
Paul Connor,Played by,Sean Gallagher
Gwen Davies,Occupation,Factory machinist
Gwen Davies,Sibling(s),Pam Davies
Gwen Davies,Spouse(s),Laurie Loveday
Gwen Davies,Children,Jason Loveday
Gwen Davies,First appearance,11th October 1999
Gwen Davies,Last appearance,16th June 2000
Gwen Davies,Duration,1999-2000
Gwen Davies,Number of appearances,91
Gwen Davies,Played by,Annie Hulley
Sylvia Goodwin,Occupation,Waitress
Sylvia Goodwin,Born,October 1933
Sylvia Goodwin,Died,23rd January 2019
Sylvia Goodwin,Sibling(s),Jean
Sylvia Goodwin,Spouse(s),St. John CropperRoger Goodwin
Sylvia Goodwin,Children,Roy Cropper (1954)Richard Lucas (1959)
Sylvia Goodwin,First appearance,11th April 2011
Sylvia Goodwin,Last appearance,2nd August 2013
Sylvia Goodwin,Duration,2011-2013
Sylvia Goodwin,Number of appearances,161
Sylvia Goodwin,Played by,Stephanie Cole
Gary Mallett,Occupation,Builder
Gary Mallett,Birthplace,Oldham
Gary Mallett,Residence,Blackpool
Gary Mallett,Father,Peter Mallett
Gary Mallett,Mother,Mrs Mallett
Gary Mallett,Sibling(s),Shane Mallett
Gary Mallett,Spouse(s),Judy Smedley (1993)
Gary Mallett,Children,Billy Mallett (1998)  Becky Mallett (1998)
Gary Mallett,First appearance,2nd October 1995
Gary Mallett,Last appearance,1st October 2000
Gary Mallett,Duration,1995-2000
Gary Mallett,Number of appearances,424
Gary Mallett,Played by,Ian Mercer
Lorraine Brownlow,Occupation,Barmaid
Lorraine Brownlow,First appearance,3rd November 1997
Lorraine Brownlow,Last appearance,12th March 1999
Lorraine Brownlow,Duration,"1997, 1998-1999"
Lorraine Brownlow,Number of appearances,73
Lorraine Brownlow,Played by,Holly Newman
Anthony Stephens,Occupation,Book shop owner
Anthony Stephens,Born,30th October
Anthony Stephens,Residence,New Zealand
Anthony Stephens,Sibling(s),Joan
Anthony Stephens,Spouse(s),Isabel Stephens
Anthony Stephens,Children,Gregory Stephens  Amanda Stephens
Anthony Stephens,First appearance,28th July 2000
Anthony Stephens,Last appearance,1st July 2001
Anthony Stephens,Duration,2000-2001
Anthony Stephens,Number of appearances,67
Anthony Stephens,Played by,John Quayle
Doug Murray,Occupation,Businessman
Doug Murray,Sibling(s),Jean Forbes
Doug Murray,First appearance,23rd October 1992
Doug Murray,Last appearance,18th June 1993
Doug Murray,Duration,1992-1993
Doug Murray,Number of appearances,62
Doug Murray,Played by,Brian Hibbard
Myra Booth,Occupation,Typist
Myra Booth,Father,George Dickinson
Myra Booth,Spouse(s),Jerry Booth (1963)
Myra Booth,Children,A daughter (1964)
Myra Booth,First appearance,4th September 1963
Myra Booth,Last appearance,21st February 1968
Myra Booth,Duration,"1963-1964, 1968"
Myra Booth,Number of appearances,60
Myra Booth,Played by,Susan Jameson
Fiz Dobbs,Occupation,Antiques dealer  Machinist
Fiz Dobbs,Born,25th September 1984
Fiz Dobbs,Residence,9 Coronation Street
Fiz Dobbs,Mother,Cilla Battersby-Brown
Fiz Dobbs,Sibling(s),Billy Brown (half-brother)Chesney Brown (half-brother)
Fiz Dobbs,Spouse(s),John Stape (2009)Phill Whittaker (2022)Tyrone Dobbs (2022)
Fiz Dobbs,Children,Hope Stape (2010)
Fiz Dobbs,First appearance,20th April 2001
Fiz Dobbs,Duration,2001 to present
Fiz Dobbs,Number of appearances,2512 (as of Episode 11557/8)
Fiz Dobbs,Played by,Jennie McAlpine
Paul Foreman,Born,24th August 1990
Paul Foreman,Died,9th September 2024
Paul Foreman,Father,Denny Foreman
Paul Foreman,Mother,Bernie Winter
Paul Foreman,Sibling(s),Gemma Winter  Kit Green (half-brother)
Paul Foreman,Spouse(s),Billy Mayhew (2023)
Paul Foreman,First appearance,11th May 2018
Paul Foreman,Last appearance,9th September 2024  8th November 2024 (Vision)
Paul Foreman,Duration,"2018, 2019-2024"
Paul Foreman,Number of appearances,605
Paul Foreman,Played by,Peter Ash
Mary Taylor,Occupation,Assistant at Preston's Petals
Mary Taylor,Born,1970
Mary Taylor,Residence,11 Coronation Street
Mary Taylor,Mother,Maureen Taylor
Mary Taylor,Spouse(s),Norris Cole (2017)
Mary Taylor,Children,Jude Appleton (1984)
Mary Taylor,First appearance,26th November 2008
Mary Taylor,Duration,"2008-2009, 2010 to present"
Mary Taylor,Number of appearances,1091 (as of Episode 11557/8)
Mary Taylor,Played by,Patti Clare
Freddie Smith,Occupation,Mechanic (retired)
Freddie Smith,Born,Prior to 1952
Freddie Smith,Residence,Scotland
Freddie Smith,Spouse(s),Sadie Smith
Freddie Smith,First appearance,11th March 2016
Freddie Smith,Last appearance,21st April 2017
Freddie Smith,Duration,2016-2017
Freddie Smith,Number of appearances,66
Freddie Smith,Played by,Derek Griffiths
Alfie Franklin,Born,6th March 2022
Alfie Franklin,Birthplace,Weatherfield General
Alfie Franklin,Residence,13 Coronation Street
Alfie Franklin,Father,Imran Habeeb
Alfie Franklin,Mother,Abi Webster
Alfie Franklin,Sibling(s),Seb Franklin (half-brother)Charlie Franklin (half-brother)Lexi Franklin (half-sister)
Alfie Franklin,First appearance,7th March 2022
Alfie Franklin,Duration,2022 to present
Alfie Franklin,Number of appearances,65 (as of Episode 11557/8)
Alfie Franklin,Played by,Carter & Oakley Razak Townsend
Caz Hammond,Occupation,Soldier (former)
Caz Hammond,First appearance,16th November 2015
Caz Hammond,Last appearance,2nd December 2016
Caz Hammond,Duration,2015-2016
Caz Hammond,Number of appearances,72
Caz Hammond,Played by,Rhea Bailey
Lily Platt,Born,26th August 2013
Lily Platt,Birthplace,"8 Coronation Street, Weatherfield"
Lily Platt,Residence,8 Coronation Street
Lily Platt,Father,David Platt
Lily Platt,Mother,Kylie Platt
Lily Platt,Sibling(s),Max Turner (half-brother)
Lily Platt,First appearance,26th August 2013 (2)
Lily Platt,Duration,2013 to present
Lily Platt,Number of appearances,301 (as of Episode 11557/8)
Lily Platt,Played by,Ava & Lilly Bushell (2013-2014)Betsie & Emmie Taylor (2014-2016)Brooke Malonie (2016 to present)
Chesney Winter-Brown,Occupation,Assistant at Prima Doner
Chesney Winter-Brown,Born,26th July 1994
Chesney Winter-Brown,Residence,5 Coronation Street
Chesney Winter-Brown,Mother,Cilla Battersby-Brown
Chesney Winter-Brown,Sibling(s),Billy Brown (half-brother)Fiz Dobbs (half-sister)
Chesney Winter-Brown,Spouse(s),Gemma Winter (2023)
Chesney Winter-Brown,Children,Joseph Brown (2011)Aled Winter-Brown (2019)Bryn Winter-Brown (2019)Carys Winter-Brown (2019)Llio Winter-Brown (2019)
Chesney Winter-Brown,First appearance,10th November 2003 (2)
Chesney Winter-Brown,Duration,2003 to present
Chesney Winter-Brown,Number of appearances,1594 (as of Episode 11557/8)
Chesney Winter-Brown,Played by,Sam Aston
Claire Peacock,Occupation,Taxi controller
Claire Peacock,Born,14th January 1981
Claire Peacock,Residence,France
Claire Peacock,Mother,Yvonne Casey
Claire Peacock,Spouse(s),Ashley Peacock (2004)
Claire Peacock,Children,Joshua Peacock (legal son)  Freddie Peacock (2006)
Claire Peacock,First appearance,9th April 2003
Claire Peacock,Last appearance,14th January 2011
Claire Peacock,Duration,2003-2011
Claire Peacock,Number of appearances,673
Claire Peacock,Played by,Julia Haworth
Connie Clayton,Occupation,Dressmaker
Connie Clayton,Spouse(s),Harry Clayton
Connie Clayton,Children,Andrea Clayton (1967)  Sue Clayton
Connie Clayton,First appearance,28th January 1985
Connie Clayton,Last appearance,10th December 2000
Connie Clayton,Duration,"1985, 2000"
Connie Clayton,Number of appearances,41
Connie Clayton,Played by,Susan Brown (1985)  Irene Skillington (2000)
Marcus Dent,Occupation,"Midwife, formerly a sonographer"
Marcus Dent,Born,1977
Marcus Dent,Birthplace,Stevenage
Marcus Dent,Residence,London
Marcus Dent,Father,Ron Dent
Marcus Dent,Mother,Janet Dent
Marcus Dent,First appearance,7th September 2007
Marcus Dent,Last appearance,14th July 2014
Marcus Dent,Duration,"2007-2008, 2011-2014"
Marcus Dent,Number of appearances,318
Marcus Dent,Played by,Charlie Condou
Paula Martin,Occupation,Solicitor
Paula Martin,Born,c.1967
Paula Martin,Residence,"Redbank Apartments, Victoria Street"
Paula Martin,Spouse(s),Tim
Paula Martin,Children,Isla another child
Paula Martin,First appearance,17th August 2018
Paula Martin,Last appearance,10th June 2020
Paula Martin,Duration,2018-2020
Paula Martin,Number of appearances,90
Paula Martin,Played by,Stirling Gallacher
Don Brennan,Occupation,Taxi driver
Don Brennan,Born,30th November 1937
Don Brennan,Birthplace,Weatherfield
Don Brennan,Died,8th October 1997
Don Brennan,Father,Michael Brennan
Don Brennan,Mother,Bridget Brennan
Don Brennan,Sibling(s),Maureen Brennan
Don Brennan,Spouse(s),Pat O'Connor (1958)  Ivy Tilsley (1988)
Don Brennan,Children,Margaret Brennan  Eileen Brennan  Gordon Brennan
Don Brennan,First appearance,7th September 1987
Don Brennan,Last appearance,8th October 1997
Don Brennan,Duration,1987-1997
Don Brennan,Number of appearances,735
Don Brennan,Played by,Geoff Hinsliff
Bobbi Lewis,Occupation,Factory machinist
Bobbi Lewis,Sibling(s),a sister
Bobbi Lewis,First appearance,20th March 2000
Bobbi Lewis,Last appearance,5th April 2002
Bobbi Lewis,Duration,2000-2002
Bobbi Lewis,Number of appearances,134
Bobbi Lewis,Played by,Naomi Ryan
Nina Lucas,Occupation,StudentWaitress at Roy's Rolls
Nina Lucas,Born,24th April 2002
Nina Lucas,Residence,16a Victoria Street
Nina Lucas,Father,Richard Lucas
Nina Lucas,First appearance,11th November 2019
Nina Lucas,Duration,2019 to present
Nina Lucas,Number of appearances,515 (as of Episode 11557/8)
Nina Lucas,Played by,Mollie Gallagher
Cilla Battersby-Brown,Occupation,Barmaid
Cilla Battersby-Brown,Born,17th December 1965
Cilla Battersby-Brown,Residence,Wolverhampton
Cilla Battersby-Brown,Sibling(s),Connie
Cilla Battersby-Brown,Spouse(s),Les Battersby (2005)
Cilla Battersby-Brown,Children,Billy Brown  Fiz Brown (1984)  Chesney Brown (1994)
Cilla Battersby-Brown,First appearance,20th October 2003
Cilla Battersby-Brown,Last appearance,14th November 2014
Cilla Battersby-Brown,Duration,"2003-2007, 2014"
Cilla Battersby-Brown,Number of appearances,329
Cilla Battersby-Brown,Played by,Wendi Peters
Maxine Peacock,Occupation,Hairdresser
Maxine Peacock,Born,10th November 1975
Maxine Peacock,Died,13th January 2003
Maxine Peacock,Father,Derek Heavey
Maxine Peacock,Mother,Doreen Heavey
Maxine Peacock,Spouse(s),Ashley Peacock (1999)
Maxine Peacock,Children,Joshua Peacock (2002)
Maxine Peacock,First appearance,3rd May 1995
Maxine Peacock,Last appearance,13th January 2003
Maxine Peacock,Duration,1995-2003
Maxine Peacock,Number of appearances,662
Maxine Peacock,Played by,Tracy Shaw
Charlie Stubbs,Occupation,Builder
Charlie Stubbs,Born,17th November 1971
Charlie Stubbs,Died,15th January 2007
Charlie Stubbs,Sibling(s),Bobby  Eddie Stubbs (half-brother)
Charlie Stubbs,Spouse(s),A wife
Charlie Stubbs,Children,Jake  Eloise Chloe (2006)
Charlie Stubbs,First appearance,10th November 2003
Charlie Stubbs,Last appearance,15th January 2007
Charlie Stubbs,Duration,2003-2007
Charlie Stubbs,Number of appearances,421
Charlie Stubbs,Played by,Bill Ward
Alec Gilroy,Occupation,Landlord  Theatrical agent  Nightclub manager
Alec Gilroy,Born,22nd May 1935
Alec Gilroy,Residence,Brighton
Alec Gilroy,Father,Reg Gilroy
Alec Gilroy,Mother,Mabel Gilroy
Alec Gilroy,Sibling(s),Edna GilroyBrenda Gilroy (half-sister)
Alec Gilroy,Spouse(s),Joyce Crosby (1955)  Bet Lynch (1987)
Alec Gilroy,Children,Sandra Gilroy (1958)
Alec Gilroy,First appearance,26th June 1972
Alec Gilroy,Last appearance,30th December 1998
Alec Gilroy,Duration,"1972, 1975, 1986-1992, 1995, 1996-1998"
Alec Gilroy,Number of appearances,850
Alec Gilroy,Played by,Roy Barraclough
Sam Blakeman,Born,28th April 2011
Sam Blakeman,Residence,12 Victoria Court
Sam Blakeman,Father,Nick Tilsley
Sam Blakeman,Mother,Natasha Blakeman
Sam Blakeman,First appearance,2nd October 2020
Sam Blakeman,Duration,2020 to present
Sam Blakeman,Number of appearances,296 (as of Episode 11557/8)
Sam Blakeman,Played by,Jude Riordan
Minnie Caldwell,Occupation,Mill worker (retired)
Minnie Caldwell,Born,30th September 1900
Minnie Caldwell,Birthplace,Weatherfield
Minnie Caldwell,Residence,Whaley Bridge
Minnie Caldwell,Father,Bob Carlton
Minnie Caldwell,Mother,Amy Carlton
Minnie Caldwell,Sibling(s),Lettie Carlton
Minnie Caldwell,Spouse(s),Armistead Caldwell (1925)
Minnie Caldwell,First appearance,14th December 1960
Minnie Caldwell,Last appearance,7th April 1976
Minnie Caldwell,Duration,1960-1976
Minnie Caldwell,Number of appearances,987
Minnie Caldwell,Played by,Margot Bryant
Ben Watts,Born,26th December 2001
Ben Watts,Birthplace,7 Coronation Street
Ben Watts,Residence,Newcastle
Ben Watts,Father,Curly Watts
Ben Watts,Mother,Emma Watts
Ben Watts,Sibling(s),Alice Watts (half-sister)
Ben Watts,First appearance,26th December 2001
Ben Watts,Last appearance,1st September 2003
Ben Watts,Duration,2001-2003
Ben Watts,Number of appearances,88
Ben Watts,Played by,Stephen Collins
Maureen Webster,Occupation,Shop assistant
Maureen Webster,Born,13th January 1945
Maureen Webster,Residence,Germany
Maureen Webster,Father,"Leonard ""Danny"" Kennedy"
Maureen Webster,Mother,Maud Grimes
Maureen Webster,Sibling(s),Peggy Phillips (half-sister)
Maureen Webster,Spouse(s),Frank Naylor  Reg Holdsworth (1994)  Fred Elliott (1997)  Bill Webster (1998)
Maureen Webster,First appearance,12th March 1993
Maureen Webster,Last appearance,27th December 2006
Maureen Webster,Duration,"1993-1997, 2006"
Maureen Webster,Number of appearances,401
Maureen Webster,Played by,Sherrie Hewson
Imran Habeeb,Occupation,Solicitor at Barlow Legal Services
Imran Habeeb,Born,21st December 1989
Imran Habeeb,Birthplace,Manchester
Imran Habeeb,Died,30th May 2022
Imran Habeeb,Father,Hassan Habeeb
Imran Habeeb,Mother,Saira Habeeb
Imran Habeeb,Sibling(s),Rana Habeeb
Imran Habeeb,Spouse(s),Sabeen HabeebToyah Battersby (2022)
Imran Habeeb,Children,Alfie Franklin (2022)
Imran Habeeb,First appearance,17th November 2017
Imran Habeeb,Last appearance,1st June 20223rd June 2022 (flashback)
Imran Habeeb,Duration,2017-2022
Imran Habeeb,Number of appearances,437
Imran Habeeb,Played by,Charlie De Melo
Kelly Neelan,Born,22nd May 2005
Kelly Neelan,Father,Rick Neelan
Kelly Neelan,Mother,Laura Neelan
Kelly Neelan,First appearance,28th June 2019
Kelly Neelan,Last appearance,23rd September 2022
Kelly Neelan,Duration,"2019, 2020-2022"
Kelly Neelan,Number of appearances,215
Kelly Neelan,Played by,Millie Gibson
Emma Watts,Occupation,Police sergeant
Emma Watts,Residence,Newcastle
Emma Watts,Spouse(s),Norman Watts (2000)
Emma Watts,Children,Ben Watts (2001)
Emma Watts,First appearance,10th April 2000
Emma Watts,Last appearance,1st September 2003
Emma Watts,Duration,2000-2003
Emma Watts,Number of appearances,265
Emma Watts,Played by,Angela Lonsdale
Julie Carp,Occupation,Factory machinist
Julie Carp,Born,1977
Julie Carp,Died,5th May 2025
Julie Carp,Father,Colin Grimshaw
Julie Carp,Mother,Paula Carp
Julie Carp,Sibling(s),Eileen Grimshaw (half-sister)
Julie Carp,Spouse(s),A husband
Julie Carp,First appearance,25th April 2008
Julie Carp,Last appearance,5th May 2025
Julie Carp,Duration,"2008-2015, 2025"
Julie Carp,Number of appearances,707 (as of Episode 11557/8)
Julie Carp,Played by,Katy Cavanagh-Jupe
Kimberley Taylor,Occupation,Shop assistant
Kimberley Taylor,Father,Randolph Taylor
Kimberley Taylor,Mother,Brenda Taylor
Kimberley Taylor,First appearance,25th October 1989
Kimberley Taylor,Last appearance,27th November 1992
Kimberley Taylor,Duration,"1989-1991, 1992"
Kimberley Taylor,Number of appearances,105
Kimberley Taylor,Played by,Suzanne Hall
Frankie Bolton,Born,2nd August 2024
Frankie Bolton,Birthplace,Weatherfield General
Frankie Bolton,Father,Joel Deering
Frankie Bolton,Mother,Lauren Bolton
Frankie Bolton,Sibling(s),Maeve (half-sister)Laila Bailey (half-sister)
Frankie Bolton,First appearance,5th August 2024 (1)
Frankie Bolton,Number of appearances,45 (as of Episode 11557/8)
Frankie Bolton,Played by,Roman Thresh
Maud Grimes,Occupation,Shop assistant (retired)
Maud Grimes,Born,1st April 1922
Maud Grimes,Residence,Mayfield Court
Maud Grimes,Father,Malcolm Michaelson
Maud Grimes,Mother,Beatrice Michaelson
Maud Grimes,Spouse(s),Wilfred Grimes
Maud Grimes,Children,Peggy Grimes (1943)  Maureen Grimes (1945)
Maud Grimes,First appearance,2nd April 1993
Maud Grimes,Last appearance,1st November 1999
Maud Grimes,Duration,1993-1999
Maud Grimes,Number of appearances,462
Maud Grimes,Played by,Elizabeth Bradley
Liz McDonald,Occupation,BarmaidReceptionist
Liz McDonald,Born,3rd November 1957
Liz McDonald,Residence,Spain
Liz McDonald,Father,George Greenwood
Liz McDonald,Mother,Nancy Greenwood
Liz McDonald,Spouse(s),"Jim McDonald (1974, 2000)  Vernon Tomlin (2007)"
Liz McDonald,Children,Andy McDonald (1974)  Steve McDonald (1974)  Katie McDonald (1992)
Liz McDonald,First appearance,27th October 1989
Liz McDonald,Last appearance,17th June 2020
Liz McDonald,Duration,"1989-1998, 2000-2001, 2003, 2004-2011, 2013-2020"
Liz McDonald,Number of appearances,2420
Liz McDonald,Played by,Beverley Callard
Bev Unwin,Occupation,Barmaid
Bev Unwin,Born,c.1955
Bev Unwin,Residence,Peak District
Bev Unwin,Sibling(s),Lenny Baker
Bev Unwin,Spouse(s),Jimmy Unwin
Bev Unwin,Children,Shelley Unwin (1973)  Sharon Unwin
Bev Unwin,First appearance,24th March 2003
Bev Unwin,Last appearance,15th July 2015
Bev Unwin,Duration,"2003-2004, 2005-2006, 2015"
Bev Unwin,Number of appearances,376
Bev Unwin,Played by,Susie Blake
Erica Holroyd,Occupation,Waitress
Erica Holroyd,Born,24th June 1965
Erica Holroyd,Residence,Spain
Erica Holroyd,Sibling(s),Lee
Erica Holroyd,First appearance,15th December 2014
Erica Holroyd,Last appearance,4th August 2017
Erica Holroyd,Duration,2014-2017
Erica Holroyd,Number of appearances,157
Erica Holroyd,Played by,Claire King
Lionel Petty,Occupation,Shopkeeper
Lionel Petty,Residence,"Rhondda, Wales"
Lionel Petty,Spouse(s),Mary Petty
Lionel Petty,Children,Sandra Petty (1946)
Lionel Petty,First appearance,31st May 1965
Lionel Petty,Last appearance,26th January 1966
Lionel Petty,Duration,1965-1966
Lionel Petty,Number of appearances,47
Lionel Petty,Played by,Edward Evans
Rob Donovan,Born,1979
Rob Donovan,Mother,Sharon Donovan
Rob Donovan,Sibling(s),Carla Connor (half-sister)
Rob Donovan,Children,Bobby Crawford
Rob Donovan,First appearance,9th July 2012 (1)
Rob Donovan,Last appearance,26th March 2025 (2)
Rob Donovan,Duration,"2012-2014, 2015-2016, 2017, 2025"
Rob Donovan,Number of appearances,346
Rob Donovan,Played by,Marc Baylis
