Character,Field,Value
Daisy Midgeley,Gender,Female
Daisy Midgeley,First appearance,27th November 2020 (1)
Daisy Midgeley,Played by,Charlotte Jordan
Daisy Midgeley,Father,Gregory Midgeley
Daisy Midgeley,Last appearance,2nd May 2025 (2)
Dan Mason,Gender,Male
Dan Mason,Last appearance,14th November 2008
Dan Mason,Sec,Medium
Dan Mason,Played by,Matthew Crompton
Dan Mason,First appearance,3rd December 2007
Dan Mason,Duration,2007-2008
Dan Mason,Sic,Other services
Dan Mason,No times married,0.0
Dan Mason,Occupation,Bookmaker
Dan Mason,Born,c.1976
Dan Mason,Bigamy committed,False
Dan Mason,Father,Harry Mason
Dan Mason,Number of appearances,108
Daniel Osbourne,Duration,"1995-1997, 2007, 2016 to present"
Daniel Osbourne,Birthplace,Weatherfield
Daniel Osbourne,Spouse(s),Sinead Tinker (2019)
Daniel Osbourne,Sic,Education
Daniel Osbourne,Mother,Denise Osbourne
Daniel Osbourne,Occupation,Teacher and journalist
Daniel Osbourne,Played by,Lewis Harney (1995-1997)Dominic Holmes (2007)Rob Mallard (2016 to present)
Daniel Osbourne,Born,4th January 1995
Daniel Osbourne,Sec,Medium
Daniel Osbourne,Sibling(s),Lawrence Cunningham (half-brother)Peter Barlow (half-brother)Susan Barlow (half-sister)Tracy McDonald (adoptive half-sister)
Daniel Osbourne,Residence,19a Victoria Street
Daniel Osbourne,Gender,Male
Daniel Osbourne,Bigamy committed,False
Daniel Osbourne,Father,Ken Barlow
Daniel Osbourne,Children,Bertie Osbourne (2019)
Daniel Osbourne,No times married,1.0
Daniel Osbourne,Number of appearances,1173 (as of Episode 11557/8)
Daniel Osbourne,First appearance,4th January 1995
Danny Baldwin,Played by,Bradley Walsh
Danny Baldwin,Duration,2004-2006
Danny Baldwin,Sec,High
Danny Baldwin,Bigamy committed,False
Danny Baldwin,Number of appearances,392
Danny Baldwin,Last appearance,31st December 2006
Danny Baldwin,Occupation,Businessman
Danny Baldwin,No times married,2.0
Danny Baldwin,Children,Jamie Baldwin (1980)  Warren Baldwin (1986)
Danny Baldwin,First appearance,31st May 2004
Danny Baldwin,Mother,Viv Baldwin
Danny Baldwin,Born,20th May 1960
Danny Baldwin,Sic,Financial & insurance activities
Danny Baldwin,Gender,Male
Danny Baldwin,Father,Mike Baldwin
Danny Baldwin,Sibling(s),Mark Redman (half-brother)Adam Barlow (half-brother)
Danny Baldwin,Spouse(s),Carol Baldwin (1979)  Frankie Baldwin (1986)
Danny Hargreaves,Sibling(s),Kieran Hargreaves
Danny Hargreaves,Last appearance,22nd April 2001
Danny Hargreaves,Number of appearances,148
Danny Hargreaves,Occupation,Market trader
Danny Hargreaves,First appearance,28th April 1999
Danny Hargreaves,Played by,Richard Standing
Danny Hargreaves,Bigamy committed,False
Danny Hargreaves,Gender,Male
Danny Hargreaves,Sic,"Wholesale, retail & repair of motor vehicles"
Danny Hargreaves,Sec,Low
Danny Hargreaves,Residence,Nottingham
Danny Hargreaves,No times married,0.0
Danny Hargreaves,Duration,1999-2001
Darryl Morton,Duration,2007-2009
Darryl Morton,First appearance,18th March 2007
Darryl Morton,Number of appearances,219
Darryl Morton,Sec,Medium
Darryl Morton,Sibling(s),Jodie Morton  Mel Morton  Kayleigh Morton  Finlay Bryant (half-brother)
Darryl Morton,Last appearance,16th October 2009
Darryl Morton,Played by,Jonathan Dixon
Darryl Morton,Occupation,Shop manager
Darryl Morton,No times married,0.0
Darryl Morton,Sic,"Wholesale, retail & repair of motor vehicles"
Darryl Morton,Mother,Teresa Bryant
Darryl Morton,Born,10th April 1989
Darryl Morton,Residence,Spain
Darryl Morton,Bigamy committed,False
Darryl Morton,Father,Jerry Morton
Darryl Morton,Gender,Male
David Barlow,Born,4th July 1942
David Barlow,Spouse(s),Irma Ogden (1965)
David Barlow,Occupation,Footballer
David Barlow,Sec,Medium
David Barlow,Children,Darren Barlow (1968)
David Barlow,Birthplace,Weatherfield
David Barlow,Played by,Alan Rothwell
David Barlow,First appearance,9th December 1960
David Barlow,Last appearance,10th April 1968
David Barlow,Sibling(s),Ken Barlow
David Barlow,Gender,Male
David Barlow,Duration,"1960-1961, 1963, 1964-1968"
David Barlow,Number of appearances,251
David Barlow,Bigamy committed,False
David Barlow,Died,8th April 1970
David Barlow,Mother,Ida Barlow
David Barlow,Father,Frank Barlow
David Barlow,Sic,Other services
David Barlow,No times married,1.0
David Platt,First appearance,26th December 1990
David Platt,Spouse(s),Kylie Turner (2011)Shona Ramsey (2019)
David Platt,Played by,Thomas Ormson (1990-2000)Jack P. Shepherd (2000 to present)
David Platt,Sibling(s),Nick Tilsley (half-brother)Sarah Platt (half-sister)Charlotte Platt (half-sister)
David Platt,Born,25th December 1990
David Platt,Mother,Gail Chadwick
David Platt,Children,Lily Platt (2013)Max Turner (legal son)
David Platt,No times married,2.0
David Platt,Father,Martin Platt
David Platt,Occupation,Hairdresser
David Platt,Residence,8 Coronation Street
David Platt,Duration,1990 to present
David Platt,Number of appearances,3135 (as of Episode 11557/8)
David Platt,Sec,Low
David Platt,Bigamy committed,False
David Platt,Sic,Other services
David Platt,Gender,Male
David Platt,Birthplace,Weatherfield
Debbie Webster,Mother,Alison Webster
Debbie Webster,Sic,Accommodation & food services
Debbie Webster,Gender,Female
Debbie Webster,Born,7th September 1968
Debbie Webster,Sibling(s),Kevin Webster  Carl Webster (half-brother)
Debbie Webster,Duration,"1984-1985, 2019, 2020 to present"
Debbie Webster,First appearance,11th June 1984
Debbie Webster,Father,Bill Webster
Debbie Webster,Number of appearances,451 (as of Episode 11557/8)
Debbie Webster,Bigamy committed,False
Debbie Webster,Played by,Sue Devaney
Debbie Webster,Occupation,Hotelier and restaurateur
Debbie Webster,No times married,0.0
Debbie Webster,Sec,High
Debs Brownlow,Gender,Female
Debs Brownlow,Last appearance,10th November 2000
Debs Brownlow,Sic,Other services
Debs Brownlow,Bigamy committed,False
Debs Brownlow,Played by,Gabrielle Glaister
Debs Brownlow,Number of appearances,75
Debs Brownlow,No times married,0.0
Debs Brownlow,Sibling(s),Natalie Barnes
Debs Brownlow,Duration,2000
Debs Brownlow,Occupation,Hairdresser
Debs Brownlow,Sec,Low
Debs Brownlow,First appearance,6th February 2000
Dee-Dee Bailey,Residence,15a Coronation Street
Dee-Dee Bailey,Sic,"Professional, scientific & technical activities"
Dee-Dee Bailey,Father,Ed Bailey
Dee-Dee Bailey,Occupation,Solicitor at Barlow Legal Services
Dee-Dee Bailey,Mother,Aggie Bailey
Dee-Dee Bailey,Bigamy committed,False
Dee-Dee Bailey,Gender,Female
Dee-Dee Bailey,Sec,High
Dee-Dee Bailey,Born,14th July 1995
Dee-Dee Bailey,No times married,0.0
Dee-Dee Bailey,Children,Laila Bailey (2025)
Dee-Dee Bailey,Played by,Channique Sterling-Brown
Dee-Dee Bailey,First appearance,28th September 2022
Dee-Dee Bailey,Duration,2022 to present
Dee-Dee Bailey,Sibling(s),Michael Bailey  James Bailey
Dee-Dee Bailey,Number of appearances,429 (as of Episode 11557/8)
Deirdre Barlow,Sic,Administrative & support services
Deirdre Barlow,Number of appearances,3346
Deirdre Barlow,Children,Tracy McDonald (1977)
Deirdre Barlow,Occupation,Receptionist
Deirdre Barlow,Played by,Anne Kirkbride
Deirdre Barlow,No times married,4.0
Deirdre Barlow,Last appearance,8th October 2014
Deirdre Barlow,Father,Donald Hunt
Deirdre Barlow,First appearance,20th November 1972
Deirdre Barlow,Birthplace,Weatherfield
Deirdre Barlow,Born,8th July 1955
Deirdre Barlow,Sec,Low
Deirdre Barlow,Duration,"1972, 1973-2014"
Deirdre Barlow,Gender,Female
Deirdre Barlow,Died,8th July 2015
Deirdre Barlow,Bigamy committed,False
Deirdre Barlow,Mother,Blanche Hunt
Deirdre Barlow,Spouse(s),"Ray Langton (1975)Ken Barlow (1981, 2005)Samir Rachid (1994)"
Denise Osbourne,Mother,Irene
Denise Osbourne,Played by,Denise Black
Denise Osbourne,Born,1st December 1955
Denise Osbourne,Gender,Female
Denise Osbourne,Number of appearances,289
Denise Osbourne,Sec,Low
Denise Osbourne,Occupation,Hairdresser
Denise Osbourne,Father,Roy
Denise Osbourne,Last appearance,9th June 2017
Denise Osbourne,Residence,Manchester
Denise Osbourne,No times married,2.0
Denise Osbourne,Children,Daniel Osbourne (1995)
Denise Osbourne,Spouse(s),Frank Osbourne (1981)  Neil Mitchell (1990)
Denise Osbourne,First appearance,4th December 1992
Denise Osbourne,Sic,Other services
Denise Osbourne,Sibling(s),Alison Dunkley
Denise Osbourne,Duration,"1992-1997, 2007, 2017"
Denise Osbourne,Bigamy committed,False
Dennis Stringer,Died,2nd January 2002
Dennis Stringer,Sic,"Wholesale, retail & repair of motor vehicles"
Dennis Stringer,Duration,2000-2002
Dennis Stringer,First appearance,7th February 2000
Dennis Stringer,Played by,Charles Dale
Dennis Stringer,Last appearance,2nd January 2002
Dennis Stringer,Number of appearances,167
Dennis Stringer,Occupation,Mechanic
Dennis Stringer,Gender,Male
Dennis Stringer,Sec,Low
Dennis Stringer,Spouse(s),Carol
Dennis Stringer,No times married,1.0
Dennis Stringer,Bigamy committed,False
Dennis Tanner,Last appearance,30th July 2014
Dennis Tanner,Father,Arnold Tanner
Dennis Tanner,Bigamy committed,False
Dennis Tanner,Mother,Elsie Tanner
Dennis Tanner,Played by,Philip Lowrie
Dennis Tanner,First appearance,9th December 1960
Dennis Tanner,Sibling(s),Linda Cheveski
Dennis Tanner,Duration,"1960-1962, 1963-1968, 2011-2014"
Dennis Tanner,Birthplace,"11 Coronation Street,Weatherfield"
Dennis Tanner,Gender,Male
Dennis Tanner,Number of appearances,677
Dennis Tanner,No times married,2.0
Dennis Tanner,Spouse(s),Jenny Sutton (1968)Rita Sullivan (2012)
Dennis Tanner,Died,2020
Dennis Tanner,Born,1st April 1942
Derek Wilton,Sic,"Wholesale, retail & repair of motor vehicles"
Derek Wilton,Number of appearances,726
Derek Wilton,Sibling(s),Edith Wilton  Doreen Wilton
Derek Wilton,Father,Lionel Wilton
Derek Wilton,First appearance,23rd February 1976
Derek Wilton,Died,7th April 1997
Derek Wilton,Born,7th August 1936
Derek Wilton,Spouse(s),Angela Hawthorne (1985)  Mavis Riley (1988)
Derek Wilton,Sec,Medium
Derek Wilton,Birthplace,Harrogate
Derek Wilton,Played by,Peter Baldwin
Derek Wilton,Occupation,Salesman
Derek Wilton,Last appearance,7th April 1997
Derek Wilton,Bigamy committed,False
Derek Wilton,Duration,"1976, 1977, 1978, 1979, 1982, 1984, 1985, 1986, 1987, 1988-1997"
Derek Wilton,Mother,Amy Wilton
Derek Wilton,Gender,Male
Derek Wilton,No times married,2.0
Des Barnes,Sec,Medium
Des Barnes,Father,Bob Barnes
Des Barnes,No times married,2.0
Des Barnes,Sic,Other services
Des Barnes,Duration,1990-1998
Des Barnes,Born,24th April 1965
Des Barnes,Died,18th November 1998
Des Barnes,Last appearance,18th November 1998
Des Barnes,Occupation,Bookmaker
Des Barnes,First appearance,12th February 1990
Des Barnes,Spouse(s),Stephanie Jones (1990)Natalie Horrocks (1998)
Des Barnes,Bigamy committed,False
Des Barnes,Played by,Philip Middlemiss
Des Barnes,Birthplace,Hartlepool
Des Barnes,Mother,Pat Barnes
Des Barnes,Gender,Male
Des Barnes,Sibling(s),Colin Barnes
Des Barnes,Number of appearances,772
Dev Alahan,Bigamy committed,False
Dev Alahan,Played by,Jimmi Harkishin
Dev Alahan,Occupation,"Owner of the Corner Shop, Prima Doner and For Your Fries Only"
Dev Alahan,First appearance,10th November 1999
Dev Alahan,Number of appearances,2063 (as of Episode 11557/8)
Dev Alahan,Sic,Accommodation & food services
Dev Alahan,Children,ShareenAmber Kalirai (1991)Aadi Alahan (2006)Asha Alahan (2006)Two other children
Dev Alahan,Sec,High
Dev Alahan,Mother,Urmila Alahan
Dev Alahan,Born,2nd March 1964
Dev Alahan,Duration,1999 to present
Dev Alahan,Residence,7 Coronation Street
Dev Alahan,Spouse(s),Sunita Parekh (2004)
Dev Alahan,Father,Ranjiv Alahan
Dev Alahan,No times married,1.0
Dev Alahan,Gender,Male
Dickie Fleming,No times married,1.0
Dickie Fleming,Gender,Male
Dickie Fleming,Last appearance,6th May 1970
Dickie Fleming,Number of appearances,117
Dickie Fleming,Sic,Construction
Dickie Fleming,Bigamy committed,False
Dickie Fleming,Duration,1968-1970
Dickie Fleming,Occupation,Electrician
Dickie Fleming,Played by,Nigel Humphreys
Dickie Fleming,Father,Mr Fleming
Dickie Fleming,Sec,Low
Dickie Fleming,First appearance,5th June 1968
Dickie Fleming,Born,17th July 1949
Dickie Fleming,Spouse(s),Audrey Bright (1968)
Diggory Compton,Sec,Low
Diggory Compton,Bigamy committed,False
Diggory Compton,Sibling(s),Pam Hobsworth
Diggory Compton,Gender,Male
Diggory Compton,No times married,0.0
Diggory Compton,Number of appearances,50
Diggory Compton,Played by,Eric Potts
Diggory Compton,Residence,Swettenham
Diggory Compton,Duration,2005-2006
Diggory Compton,Children,Molly Dobbs (1984)
Diggory Compton,First appearance,2nd February 2005
Diggory Compton,Sic,Manufacturing
Diggory Compton,Occupation,Baker
Diggory Compton,Last appearance,17th July 2006
Don Brennan,First appearance,7th September 1987
Don Brennan,Birthplace,Weatherfield
Don Brennan,Bigamy committed,False
Don Brennan,Number of appearances,735
Don Brennan,Spouse(s),Pat O'Connor (1958)  Ivy Tilsley (1988)
Don Brennan,Sibling(s),Maureen Brennan
Don Brennan,Born,30th November 1937
Don Brennan,Mother,Bridget Brennan
Don Brennan,Gender,Male
Don Brennan,Father,Michael Brennan
Don Brennan,Children,Margaret Brennan  Eileen Brennan  Gordon Brennan
Don Brennan,Died,8th October 1997
Don Brennan,Duration,1987-1997
Don Brennan,Sic,Transport & storage
Don Brennan,No times married,2.0
Don Brennan,Sec,Low
Don Brennan,Played by,Geoff Hinsliff
Don Brennan,Last appearance,8th October 1997
Don Brennan,Occupation,Taxi driver
Doreen Fenwick,Number of appearances,51
Doreen Fenwick,Occupation,Exotic dancer (retired)
Doreen Fenwick,Born,1939
Doreen Fenwick,No times married,2.0
Doreen Fenwick,Played by,Barbara Young
Doreen Fenwick,Residence,32 Jubilee View
Doreen Fenwick,Bigamy committed,False
Doreen Fenwick,Gender,Female
Doreen Fenwick,First appearance,5th February 2007
Doreen Fenwick,Sec,Low
Doreen Fenwick,Last appearance,2nd December 2007
Doreen Fenwick,Sic,Other services
Doreen Fenwick,Duration,2007
Doreen Fenwick,Spouse(s),Harold Thompson (1963)  Tommy Fenwick (1990)
Doreen Heavey,No times married,1.0
Doreen Heavey,Bigamy committed,False
Doreen Heavey,Sibling(s),Valerie
Doreen Heavey,Children,Maxine Heavey (1975)
Doreen Heavey,Last appearance,8th November 2004
Doreen Heavey,Residence,2 Douglas Road
Doreen Heavey,Gender,Female
Doreen Heavey,Played by,Prunella Gee
Doreen Heavey,Occupation,Beautician
Doreen Heavey,First appearance,2nd July 1999
Doreen Heavey,Born,13th January 1953
Doreen Heavey,Duration,"1999, 2002-2003, 2004"
Doreen Heavey,Sec,Low
Doreen Heavey,Sic,Other services
Doreen Heavey,Number of appearances,75
Doreen Heavey,Spouse(s),Derek Heavey (1972)
Doreen Lostock,Father,Jack Lostock
Doreen Lostock,Born,1st February 1941
Doreen Lostock,Number of appearances,145
Doreen Lostock,Sibling(s),A brother  A sister
Doreen Lostock,Sec,Low
Doreen Lostock,Occupation,Shop assistant
Doreen Lostock,Played by,Angela Crow
Doreen Lostock,Last appearance,2nd October 1963
Doreen Lostock,Duration,"1961, 1962-1963"
Doreen Lostock,No times married,0.0
Doreen Lostock,Sic,"Wholesale, retail & repair of motor vehicles"
Doreen Lostock,Gender,Female
Doreen Lostock,First appearance,18th January 1961
Doreen Lostock,Mother,Amy Lostock
Doreen Lostock,Bigamy committed,False
Doug Murray,Last appearance,18th June 1993
Doug Murray,Sec,High
Doug Murray,Gender,Male
Doug Murray,Occupation,Businessman
Doug Murray,Duration,1992-1993
Doug Murray,Bigamy committed,False
Doug Murray,No times married,0.0
Doug Murray,Played by,Brian Hibbard
Doug Murray,First appearance,23rd October 1992
Doug Murray,Sibling(s),Jean Forbes
Doug Murray,Sic,Financial & insurance activities
Doug Murray,Number of appearances,62
Duggie Ferguson,Bigamy committed,False
Duggie Ferguson,Sic,Financial & insurance activities
Duggie Ferguson,First appearance,15th October 1999
Duggie Ferguson,Number of appearances,252
Duggie Ferguson,Last appearance,6th February 2002
Duggie Ferguson,Duration,1999-2002
Duggie Ferguson,Died,4th February 2002
Duggie Ferguson,Gender,Male
Duggie Ferguson,Sec,High
Duggie Ferguson,Occupation,Businessman
Duggie Ferguson,No times married,1.0
Duggie Ferguson,Children,Tom Ferguson (1980)
Duggie Ferguson,Spouse(s),Laura Ferguson
Duggie Ferguson,Played by,John Bowe
Dylan Wilson,First appearance,22nd February 2008 (2)
Dylan Wilson,Born,22nd February 2008
Dylan Wilson,Played by,"Charlie Corry (2008)Grace Robinson (2008)Connor McCheyne (2011-2012)Liam McCheyne (2011-2012, 2020-)"
Dylan Wilson,Birthplace,Rovers Return Inn
Dylan Wilson,Number of appearances,202 (as of Episode 11557/8)
Dylan Wilson,No times married,0.0
Dylan Wilson,Bigamy committed,False
Dylan Wilson,Mother,Violet Wilson
Dylan Wilson,Residence,"Flat 2, Weatherfield Precinct"
Dylan Wilson,Gender,Male
Dylan Wilson,Duration,"2008, 2011, 2012, 2020, 2021, 2022 to present"
Dylan Wilson,Father,Sean Tully
Ed Bailey,Played by,Trevor Michael Georges
Ed Bailey,Children,Michael BaileyDiana Bailey (1995)James Bailey
Ed Bailey,Sibling(s),Ronnie Bailey
Ed Bailey,Sic,Construction
Ed Bailey,Residence,3 Coronation Street
Ed Bailey,Born,20th September 1964
Ed Bailey,First appearance,10th June 2019
Ed Bailey,Gender,Male
Ed Bailey,Duration,2019 to present
Ed Bailey,Father,Sarge Bailey
Ed Bailey,Bigamy committed,False
Ed Bailey,Spouse(s),Aggie Bailey (1990)
Ed Bailey,Number of appearances,460 (as of Episode 11557/8)
Ed Bailey,Sec,Low
Ed Bailey,Occupation,Builder
Ed Bailey,No times married,1.0
Eddie Windass,No times married,1.0
Eddie Windass,Children,Gary Windass (1986)
Eddie Windass,Spouse(s),Anna Windass (common-law)
Eddie Windass,Sec,Low
Eddie Windass,Sibling(s),Len Windass
Eddie Windass,Played by,Steve Huison
Eddie Windass,Duration,2008-2011
Eddie Windass,Occupation,Taxi driver
Eddie Windass,Number of appearances,187
Eddie Windass,First appearance,14th November 2008
Eddie Windass,Last appearance,25th April 2011
Eddie Windass,Sic,Transport & storage
Eddie Windass,Residence,Hamburg
Eddie Windass,Gender,Male
Eddie Windass,Bigamy committed,False
Eddie Yeats,Children,Dawn Yeats (1984)
Eddie Yeats,Occupation,Binman
Eddie Yeats,Residence,Bury
Eddie Yeats,Number of appearances,511
Eddie Yeats,Played by,Geoffrey Hughes
Eddie Yeats,Duration,"1974-1975, 1976-1983, 1987"
Eddie Yeats,Gender,Male
Eddie Yeats,Last appearance,2nd December 1987
Eddie Yeats,Birthplace,Liverpool
Eddie Yeats,Born,22nd August 1941
Eddie Yeats,Spouse(s),Marion Willis (1983)
Eddie Yeats,Sec,Low
Eddie Yeats,First appearance,23rd December 1974
Eddie Yeats,No times married,1.0
Eddie Yeats,Bigamy committed,False
Eddie Yeats,Sic,Administrative & support services
Edna Miller,Occupation,Factory workerBarmaid
Edna Miller,Sibling(s),Iris Merry
Edna Miller,Died,19th September 2001
Edna Miller,Played by,Joan Kempson
Edna Miller,Gender,Female
Edna Miller,Sec,Low
Edna Miller,Bigamy committed,False
Edna Miller,Duration,"1998, 2000-2001"
Edna Miller,Sic,Manufacturing
Edna Miller,Spouse(s),Leslieplus 2 more husbands
Edna Miller,Number of appearances,50
Edna Miller,Born,c.1952
Edna Miller,Last appearance,19th September 2001
Edna Miller,First appearance,24th June 1998
Edna Miller,No times married,3.0
Effie Spicer,Sic,Other services
Effie Spicer,Bigamy committed,False
Effie Spicer,Occupation,Retired
Effie Spicer,Played by,Anne Dyson
Effie Spicer,Born,30th January 1900
Effie Spicer,Birthplace,Accrington
Effie Spicer,Number of appearances,43
Effie Spicer,Sec,Low
Effie Spicer,First appearance,26th June 1968
Effie Spicer,Gender,Female
Effie Spicer,Sibling(s),A sister
Effie Spicer,Last appearance,26th March 1969
Effie Spicer,No times married,1.0
Effie Spicer,Spouse(s),Peter Spicer (deceased)
Effie Spicer,Duration,1968-1969
Eileen Grimshaw,Played by,Sue Cleaver
Eileen Grimshaw,Residence,11 Coronation Street
Eileen Grimshaw,Children,Jason Grimshaw (1983)  Todd Grimshaw (1985)
Eileen Grimshaw,Occupation,Switch operator at Street Cars  Office administrator
Eileen Grimshaw,Born,7th October 1961
Eileen Grimshaw,No times married,1.0
Eileen Grimshaw,First appearance,3rd May 2000
Eileen Grimshaw,Father,Colin Grimshaw
Eileen Grimshaw,Sic,Administrative & support services
Eileen Grimshaw,Gender,Female
Eileen Grimshaw,Number of appearances,2422 (as of Episode 11557/8)
Eileen Grimshaw,Duration,2000 to present
Eileen Grimshaw,Spouse(s),Pat Phelan (2017)
Eileen Grimshaw,Bigamy committed,False
Eileen Grimshaw,Sibling(s),Julie Carp (half-sister)
Eileen Grimshaw,Sec,Low
Elaine Jones,Played by,Paula Wilcox
Elaine Jones,Sec,Low
Elaine Jones,Gender,Female
Elaine Jones,Sic,Accommodation & food services
Elaine Jones,Last appearance,23rd October 2023
Elaine Jones,Bigamy committed,False
Elaine Jones,First appearance,20th July 2020
Elaine Jones,No times married,1.0
Elaine Jones,Duration,2020-2023
Elaine Jones,Occupation,Former waitress and shop assistant
Elaine Jones,Sibling(s),A brother
Elaine Jones,Number of appearances,185
Elaine Jones,Spouse(s),Geoff Metcalfe (1971)
Elaine Jones,Born,11th October 1951
Elaine Jones,Residence,4 Coronation Street
Elaine Jones,Children,Tim Metcalfe (1972)
Eliza Woodrow,Sibling(s),Ben Everett (half-brother)
Eliza Woodrow,Residence,"Hamburg, Germany"
Eliza Woodrow,Father,Dom Everett
Eliza Woodrow,Gender,Female
Eliza Woodrow,Last appearance,17th April 2024
Eliza Woodrow,Bigamy committed,False
Eliza Woodrow,First appearance,24th August 2022
Eliza Woodrow,Mother,Bridget Woodrow
Eliza Woodrow,Duration,2022-2024
Eliza Woodrow,Number of appearances,90
Eliza Woodrow,Played by,Savannah Kunyo
Eliza Woodrow,Born,19th May 2011
Eliza Woodrow,No times married,0.0
Elsie Tanner,First appearance,9th December 1960
Elsie Tanner,Played by,Patricia Phoenix
Elsie Tanner,Duration,"1960-1973, 1976-1984"
Elsie Tanner,Sic,"Wholesale, retail & repair of motor vehicles"
Elsie Tanner,Father,Arthur Grimshaw
Elsie Tanner,Bigamy committed,False
Elsie Tanner,Born,5th March 1923
Elsie Tanner,Sec,Low
Elsie Tanner,Children,Linda Tanner (1940)Dennis Tanner (1942)
Elsie Tanner,Gender,Female
Elsie Tanner,Last appearance,4th January 1984
Elsie Tanner,Birthplace,"18 Gas Street,Weatherfield"
Elsie Tanner,Mother,Alice Grimshaw
Elsie Tanner,Spouse(s),Arnold Tanner (1939)Stephen Tanner (1967)Alan Howard (1970) William Gregory (1984)
Elsie Tanner,Occupation,Retail clerk
Elsie Tanner,Died,c.2004
Elsie Tanner,Sibling(s),Fay ButlerPhyllis BaileyEthel GrimshawConnie GrimshawIris GrimshawFreda GrimshawNancy GrimshawPolly GrimshawJack Grimshaw  Unnamed stillborn brother
Elsie Tanner,Number of appearances,1606
Elsie Tanner,No times married,4.0
Emily Bishop,Last appearance,9th October 2019
Emily Bishop,Duration,"1960-1961, 1962-1966, 1967-2016, 2019"
Emily Bishop,Played by,Eileen Derbyshire
Emily Bishop,Gender,Female
Emily Bishop,Mother,Agnes Nugent
Emily Bishop,Father,James Nugent
Emily Bishop,Bigamy committed,True
Emily Bishop,Occupation,Shop assistant (retired)
Emily Bishop,Sec,Low
Emily Bishop,No times married,2.0
Emily Bishop,Sibling(s),Edgar NugentNorah SeddonBrenda NugentJoan CorrieMarjorie Nugent
Emily Bishop,Born,18th October 1929
Emily Bishop,Residence,"16a Turnham Street, Edinburgh"
Emily Bishop,Sic,"Wholesale, retail & repair of motor vehicles"
Emily Bishop,First appearance,21st December 1960 (uncredited walk on actress)  27th January 1961 (first appearance by Eileen Derbyshire)
Emily Bishop,Spouse(s),"Ernest Bishop (1972)  Arnold Swain (1980, bigamous)"
Emily Bishop,Birthplace,Harrogate
Emily Bishop,Number of appearances,3303
Emma Brooker,Occupation,Barmaid  Hairdresser
Emma Brooker,First appearance,20th April 2018
Emma Brooker,Number of appearances,391
Emma Brooker,Born,3rd May 1999
Emma Brooker,Gender,Female
Emma Brooker,Played by,Alexandra Mardell
Emma Brooker,Bigamy committed,False
Emma Brooker,Sec,Low
Emma Brooker,No times married,0.0
Emma Brooker,Sibling(s),Morgan Middleton (half-brother)Amy Barlow (half-sister)Ruairi McDonald (half-brother)Oliver Battersby (half-brother)
Emma Brooker,Residence,Australia
Emma Brooker,Last appearance,8th April 2022
Emma Brooker,Duration,2018-2022
Emma Brooker,Father,Steve McDonald
Emma Brooker,Mother,Fiona Middleton
Emma Brooker,Sic,Accommodation & food services
Emma Watts,First appearance,10th April 2000
Emma Watts,Sec,Medium
Emma Watts,Spouse(s),Norman Watts (2000)
Emma Watts,Children,Ben Watts (2001)
Emma Watts,Sic,Public admin & defence; social security
Emma Watts,Bigamy committed,False
Emma Watts,Occupation,Police sergeant
Emma Watts,Gender,Female
Emma Watts,Number of appearances,265
Emma Watts,Last appearance,1st September 2003
Emma Watts,Played by,Angela Lonsdale
Emma Watts,Duration,2000-2003
Emma Watts,Residence,Newcastle
Emma Watts,No times married,1.0
Ena Sharples,Gender,Female
Ena Sharples,Birthplace,Weatherfield
Ena Sharples,Sic,Administrative & support services
Ena Sharples,Father,Thomas Schofield
Ena Sharples,Number of appearances,1136
Ena Sharples,Born,24th November 1899
Ena Sharples,Sec,Low
Ena Sharples,Occupation,Caretaker (retired)
Ena Sharples,Mother,Mary Schofield
Ena Sharples,Played by,Violet Carson
Ena Sharples,Duration,1960-1980
Ena Sharples,No times married,1.0
Ena Sharples,Bigamy committed,False
Ena Sharples,Sibling(s),Alice Raybould Tom Schofield
Ena Sharples,Last appearance,2nd April 1980
Ena Sharples,Spouse(s),Alfred Sharples (1920)
Ena Sharples,Children,Vera Sharples (1921)Madge Sharples (1924)Ian Sharples
Ena Sharples,First appearance,9th December 1960
Erica Holroyd,First appearance,15th December 2014
Erica Holroyd,Sec,Low
Erica Holroyd,Bigamy committed,False
Erica Holroyd,Gender,Female
Erica Holroyd,Occupation,Waitress
Erica Holroyd,No times married,0.0
Erica Holroyd,Last appearance,4th August 2017
Erica Holroyd,Residence,Spain
Erica Holroyd,Born,24th June 1965
Erica Holroyd,Played by,Claire King
Erica Holroyd,Number of appearances,157
Erica Holroyd,Duration,2014-2017
Erica Holroyd,Sibling(s),Lee
Erica Holroyd,Sic,Accommodation & food services
Ernest Bishop,Sibling(s),Edie Burgess
Ernest Bishop,Bigamy committed,False
Ernest Bishop,Spouse(s),Emily Nugent (1972)
Ernest Bishop,Last appearance,11th January 1978
Ernest Bishop,Mother,Caroline Bishop
Ernest Bishop,Played by,Stephen Hancock
Ernest Bishop,Father,George Bishop
Ernest Bishop,Sec,Medium
Ernest Bishop,Occupation,Photographer
Ernest Bishop,Born,11th August 1930
Ernest Bishop,No times married,1.0
Ernest Bishop,Duration,"1967, 1969-1978"
Ernest Bishop,Sic,"Professional, scientific & technical activities"
Ernest Bishop,Died,11th January 1978
Ernest Bishop,Gender,Male
Ernest Bishop,Number of appearances,410
Ernest Bishop,First appearance,6th September 1967
Esther Hayes,Birthplace,Weatherfield
