Character,Birthplace,Children,Duration,Father,Gender,Mother,Number of appearances,Occupation,Played by,Residence,Sec,Sibling(s),Sic,Spouse(s),Born,Died,First appearance,Last appearance,Exit status,Exit date,Start date,Segment,Max segment
Blanche Hunt,Weatherfield,Deirdre Hunt (1955),"1974-1976, 1977, 1978, 1981, 1996, 1997, 1998-2009",,Female,Iris Linfield,844,Corset maker (retired),Patricia Cutts (1974)  Maggie Jones (1974-2009),,Low,Beryl Linfield  Irene Linfield,Manufacturing,Donald Hunt (1953),1936-01-22,2010-05-03,1974-08-19,2009-12-11,Exit,1978-06-30,1974-08-19,1,2
Blanche Hunt,Weatherfield,Deirdre Hunt (1955),"1974-1976, 1977, 1978, 1981, 1996, 1997, 1998-2009",,Female,Iris Linfield,844,Corset maker (retired),Patricia Cutts (1974)  Maggie Jones (1974-2009),,Low,Beryl Linfield  Irene Linfield,Manufacturing,Donald Hunt (1953),1936-01-22,2010-05-03,1974-08-19,2009-12-11,Death,2010-05-03,1996-06-30,2,2
Bobbi Lewis,,,2000-2002,,Female,,134,Factory machinist,Naomi Ryan,,Low,a sister,Manufacturing,,,,2000-03-20,2002-04-05,Exit,2002-04-05,2000-03-20,1,1
Bobby Crawford,,,2023 to present,Rob Donovan,Male,,122 (as of Episode 11557/8),Underworld sales clerk,Jack Carroll,,Low,,"Wholesale, retail & repair of motor vehicles",,2002-05-03,,2023-12-27,,Alive,2025-06-30,2023-12-27,1,1
Brian Packham,,,"2010, 2011-2013, 2015, 2016 to present",,Male,,647 (as of Episode 11557/8),Co-owner of The Kabin,Peter Gunn,12 Coronation Street,Medium,,"Wholesale, retail & repair of motor vehicles",Margaret Packham,1963-08-20,,2010-04-15,,Exit,2013-06-30,2010-04-15,1,2
Brian Packham,,,"2010, 2011-2013, 2015, 2016 to present",,Male,,647 (as of Episode 11557/8),Co-owner of The Kabin,Peter Gunn,12 Coronation Street,Medium,,"Wholesale, retail & repair of motor vehicles",Margaret Packham,1963-08-20,,2010-04-15,,Alive,2025-06-30,2015-06-30,2,2
Brian Tilsley,,Nick Tilsley (1980)  Sarah Louise Tilsley (1987),1978-1989,Bert Tilsley,Male,Ivy Tilsley,524,Mechanic,Christopher Quinten,,Low,,"Wholesale, retail & repair of motor vehicles","Gail Potter (1979, 1988)",1958-10-15,1989-02-15,1978-12-27,1989-02-15,Death,1989-02-15,1978-12-27,1,1
Bryn Winter-Brown,"Llandudno, Wales",,"2019-2020, 2022 to present",Chesney Winter-Brown,Male,Gemma Winter-Brown,91 (as of Episode 11557/8),,Charlotte Holt (2019-2020)  Lily & Lucy Taylor (2019-2020)  Arthur Taylor (2019-2023)  James Holt (2019 to present),5 Coronation Street,,Joseph Brown (half-brother)  Aled Winter-Brown  Carys Winter-Brown  Llio Winter-Brown,,,2019-10-30,,2019-10-30,,Exit,2020-06-30,2019-10-30,1,2
Bryn Winter-Brown,"Llandudno, Wales",,"2019-2020, 2022 to present",Chesney Winter-Brown,Male,Gemma Winter-Brown,91 (as of Episode 11557/8),,Charlotte Holt (2019-2020)  Lily & Lucy Taylor (2019-2020)  Arthur Taylor (2019-2023)  James Holt (2019 to present),5 Coronation Street,,Joseph Brown (half-brother)  Aled Winter-Brown  Carys Winter-Brown  Llio Winter-Brown,,,2019-10-30,,2019-10-30,,Alive,2025-06-30,2022-06-30,2,2
Callum Logan,,Max Turner (2006)  Harry Platt (2016),2014-2015,,Male,Marion Logan,114,,Sean Ward,,,,,,1987-11-01,2015-09-21,2014-10-03,2015-09-23,Death,2015-09-21,2014-10-03,1,1
Candice Stowe,,,1999-2005,Bill Stowe,Female,Marion Stowe,400,Hairdresser,Nikki Sanderson,,Low,,Other services,a husband (2007),1986-09-20,,1999-11-05,2005-11-07,Exit,2005-11-07,1999-11-05,1,1
Carla Connor,,,"2006-2016, 2017 to present",Johnny Connor,Female,Sharon Donovan,2128 (as of Episode 11557/8),Factory manager,Alison King,15a Victoria Street,Medium,Rob Donovan (half-brother)Aidan Connor (half-brother)Kate Connor (half-sister),Manufacturing,"Paul Connor (1999)Tony Gordon (2008)Peter Barlow (2013, 2021)Nick Tilsley (2016)",1975-01-03,,2006-12-01,,Alive,2025-06-30,2006-12-01,1,1
Carys Winter-Brown,"Llandudno, Wales",,"2019-2020, 2022 to present",Chesney Winter-Brown,Female,Gemma Winter-Brown,91 (as of Episode 11557/8),,James Holt (2019-2020)   Arthur Taylor (2019-2020)  Lily & Lucy Taylor (2019-2022)  Charlotte Holt (2019 to present),5 Coronation Street,,Joseph Brown (half-brother)  Aled Winter-Brown  Bryn Winter-Brown  Llio Winter-Brown,,,2019-10-30,,2019-10-30,,Exit,2020-06-30,2019-10-30,1,2
Carys Winter-Brown,"Llandudno, Wales",,"2019-2020, 2022 to present",Chesney Winter-Brown,Female,Gemma Winter-Brown,91 (as of Episode 11557/8),,James Holt (2019-2020)   Arthur Taylor (2019-2020)  Lily & Lucy Taylor (2019-2022)  Charlotte Holt (2019 to present),5 Coronation Street,,Joseph Brown (half-brother)  Aled Winter-Brown  Bryn Winter-Brown  Llio Winter-Brown,,,2019-10-30,,2019-10-30,,Alive,2025-06-30,2022-06-30,2,2
Cassie Plummer,Liverpool,Tyrone Dobbs (1982),2023 to present,Harold Plummer,Female,Evelyn Plummer,189 (as of Episode 11557/8),Carer,Claire Sweeney,9 Coronation Street,Low,,Human health & social work activities,,1966-02-01,,2023-06-28,,Alive,2025-06-30,2023-06-28,1,1
Cathy Matthews,,,2015-2022,,Female,,472,Retail assistant,Melanie Hill,Scarborough,Low,Nessa Warner,"Wholesale, retail & repair of motor vehicles",Alan Matthews,1961-04-12,,2015-04-20,2022-06-17,Exit,2022-06-17,2015-04-20,1,1
Caz Hammond,,,2015-2016,,Female,,72,Soldier (former),Rhea Bailey,,Low,,Public admin & defence; social security,,,,2015-11-16,2016-12-02,Exit,2016-12-02,2015-11-16,1,1
Chalkie Whitely,,Bob Whitely,1982-1983,,Male,,60,Binman,Teddy Turner,"Sydney, Australia",Low,,Administrative & support services,Mary Whitely,1924-12-21,,1982-02-15,1983-08-03,Exit,1983-08-03,1982-02-15,1,1
Charlie Moffitt,,,1964-1965,,Male,,101,Comedian,Gordon Rollings,,Medium,,Other services,,,,1964-05-20,1965-12-15,Exit,1965-12-15,1964-05-20,1,1
Charlie Ramsden,,,2000-2002,,Male,Pam Hargreaves (biological)  Mrs Johnson (adoptive),103,Teacher,Clare McGlinn,,Medium,Christine Hargreaves (half-sister)  Luke Ashton (half-brother),Education,Matt Ramsden (1992),1970-09-01,,2000-11-22,2002-04-16,Exit,2002-04-16,2000-11-22,1,1
Charlie Stubbs,,Jake  Eloise Chloe (2006),2003-2007,,Male,,421,Builder,Bill Ward,,Low,Bobby  Eddie Stubbs (half-brother),Construction,A wife,1971-11-17,2007-01-15,2003-11-10,2007-01-15,Death,2007-01-15,2003-11-10,1,1
Charlie Whelan,,,1993-1994,,Male,,59,Lorry driver,John St. Ryan,,Low,,Transport & storage,,,,1993-12-27,1994-10-14,Exit,1994-10-14,1993-12-27,1,1
Cheryl Gray,,Russ Gray,2010-2011,,Female,,147,Waitress,Holly Quin-Ankrah,,Low,,Accommodation & food services,Chris Gray,1981-01-17,,2010-04-09,2011-11-18,Exit,2011-11-18,2010-04-09,1,1
Chesney Winter-Brown,,Joseph Brown (2011)Aled Winter-Brown (2019)Bryn Winter-Brown (2019)Carys Winter-Brown (2019)Llio Winter-Brown (2019),2003 to present,,Male,Cilla Battersby-Brown,1594 (as of Episode 11557/8),Assistant at Prima Doner,Sam Aston,5 Coronation Street,Low,Billy Brown (half-brother)Fiz Dobbs (half-sister),Accommodation & food services,Gemma Winter (2023),1994-07-26,,2003-11-10,,Alive,2025-06-30,2003-11-10,1,1
Chris Collins,,,1997-1998,,Male,,137,Mechanic,Matthew Marsden,Coventry,Low,,"Wholesale, retail & repair of motor vehicles",,1976-03-01,,1997-03-03,1998-03-29,Exit,1998-03-29,1997-03-03,1,1
Chris Gray,,Russell Gray,2010-2011,,Male,,109,Builder,Will Thorp,,Low,,Construction,Cheryl Gray,,,2010-07-01,2011-11-21,Exit,2011-11-21,2010-07-01,1,1
Christine Appleby,"13 Coronation Street,Weatherfield",,1960-1963,George Hardman,Female,May Hardman,123,Machinist,Christine Hargreaves,,Low,,Manufacturing,Colin Appleby (1962),1939-04-19,,1960-12-14,1963-07-03,Exit,1963-07-03,1960-12-14,1,1
Ciaran McCarthy,,,"2002-2005, 2010-2011",,Male,,407,Chef,Keith Duffy,,Medium,,Accommodation & food services,,1973-02-01,,2002-08-07,2011-11-25,Exit,2005-06-30,2002-08-07,1,2
Ciaran McCarthy,,,"2002-2005, 2010-2011",,Male,,407,Chef,Keith Duffy,,Medium,,Accommodation & food services,,1973-02-01,,2002-08-07,2011-11-25,Exit,2011-11-25,2010-06-30,2,2
Cilla Battersby-Brown,,Billy Brown  Fiz Brown (1984)  Chesney Brown (1994),"2003-2007, 2014",,Female,,329,Barmaid,Wendi Peters,Wolverhampton,Low,Connie,Accommodation & food services,Les Battersby (2005),1965-12-17,,2003-10-20,2014-11-14,Exit,2007-06-30,2003-10-20,1,2
Cilla Battersby-Brown,,Billy Brown  Fiz Brown (1984)  Chesney Brown (1994),"2003-2007, 2014",,Female,,329,Barmaid,Wendi Peters,Wolverhampton,Low,Connie,Accommodation & food services,Les Battersby (2005),1965-12-17,,2003-10-20,2014-11-14,Exit,2014-11-14,2014-06-30,2,2
Claire Palmer,,Becky Palmer (1982),1996-1997,,Female,,59,Shop assistant,Maggie Norris,,Low,,"Wholesale, retail & repair of motor vehicles",Jeff Palmer,,,1996-05-08,1997-04-14,Exit,1997-04-14,1996-05-08,1,1
Claire Peacock,,Joshua Peacock (legal son)  Freddie Peacock (2006),2003-2011,,Female,Yvonne Casey,673,Taxi controller,Julia Haworth,France,Medium,,Transport & storage,Ashley Peacock (2004),1981-01-14,,2003-04-09,2011-01-14,Exit,2011-01-14,2003-04-09,1,1
Claudia Colby,,,"2009, 2010-2011, 2018-2020, 2021, 2022",,Female,,149,Owner of Perm Suspect,Rula Lenska,Stillwaters retirement complex,High,,Other services,,,,2009-12-18,2022-08-15,Exit,2011-06-30,2009-12-18,1,2
Claudia Colby,,,"2009, 2010-2011, 2018-2020, 2021, 2022",,Female,,149,Owner of Perm Suspect,Rula Lenska,Stillwaters retirement complex,High,,Other services,,,,2009-12-18,2022-08-15,Exit,2022-08-15,2018-06-30,2,2
Concepta Regan,"Castleblayney, Ireland",Christopher Hewitt (1962),"1960-1964, 1967, 1972, 1975",Sean Riley,Female,Shelagh Riley,317,Barmaid,Doreen Keogh,Ireland,Low,,Accommodation & food services,Harry Hewitt (1961)  Sean Regan (1973),1926-01-15,,1960-12-23,1975-12-31,Exit,1964-06-30,1960-12-23,1,2
Concepta Regan,"Castleblayney, Ireland",Christopher Hewitt (1962),"1960-1964, 1967, 1972, 1975",Sean Riley,Female,Shelagh Riley,317,Barmaid,Doreen Keogh,Ireland,Low,,Accommodation & food services,Harry Hewitt (1961)  Sean Regan (1973),1926-01-15,,1960-12-23,1975-12-31,Exit,1975-12-31,1975-06-30,2,2
Connie Clayton,,Andrea Clayton (1967)  Sue Clayton,"1985, 2000",,Female,,41,Dressmaker,Susan Brown (1985)  Irene Skillington (2000),,Low,,Manufacturing,Harry Clayton,,,1985-01-28,2000-12-10,Exit,1985-06-30,1985-01-28,1,2
Connie Clayton,,Andrea Clayton (1967)  Sue Clayton,"1985, 2000",,Female,,41,Dressmaker,Susan Brown (1985)  Irene Skillington (2000),,Low,,Manufacturing,Harry Clayton,,,1985-01-28,2000-12-10,Exit,2000-12-10,2000-06-30,2,2
Craig Harris,Sheffield,,2002-2006,Tommy Harris,Male,Angela Harris,294,,Richard Fleeshman,Berlin,,Katy Harris,,,1990-09-18,,2002-11-13,2006-10-16,Exit,2006-10-16,2002-11-13,1,1
Craig Tinker,,,"2011, 2012 to present",Darryl Parkins,Male,Beth Sutherland,771 (as of Episode 11557/8),Police Constable,Colson Smith,18a Victoria Street,Medium,,Public admin & defence; social security,,1998-09-02,,2011-08-05,,Alive,2025-06-30,2011-08-05,1,1
Curly Watts,Stockport,Alice Watts (1997)  Ben Watts (2001),1983-2003,Arthur Watts,Male,Eunice Watts,1563,Retail manager,Kevin Kennedy,Newcastle,Medium,,"Wholesale, retail & repair of motor vehicles",Raquel Wolstenhulme (1995)  Emma Taylor (2000),1963-06-28,,1983-07-11,2003-09-01,Exit,2003-09-01,1983-07-11,1,1
Cyril Turpin,,,"1969-1970, 1972",,Male,,74,Police sergeant,William Moore,,Medium,Minnie,Public admin & defence; social security,Elizabeth Preston,1920-07-01,1974-02-20,1969-06-04,1972-07-19,Exit,1970-06-30,1969-06-04,1,2
Cyril Turpin,,,"1969-1970, 1972",,Male,,74,Police sergeant,William Moore,,Medium,Minnie,Public admin & defence; social security,Elizabeth Preston,1920-07-01,1974-02-20,1969-06-04,1972-07-19,Exit,1972-07-19,1972-06-30,2,2
Daisy Midgeley,,,2020-2025,Gregory Midgeley,Female,Christina Boyd,635 (as of Episode 11557/8),Barmaid at the Rovers Return Inn,Charlotte Jordan,Bali,Low,Tom Midgeley (half-brother)another half-brother,Accommodation & food services,,1996-12-01,,2020-11-27,2025-05-02,Exit,2025-05-02,2020-11-27,1,1
Dan Mason,,,2007-2008,Harry Mason,Male,,108,Bookmaker,Matthew Crompton,,Medium,,Other services,,1976-09-01,,2007-12-03,2008-11-14,Exit,2008-11-14,2007-12-03,1,1
Daniel Osbourne,Weatherfield,Bertie Osbourne (2019),"1995-1997, 2007, 2016 to present",Ken Barlow,Male,Denise Osbourne,1173 (as of Episode 11557/8),Teacher and journalist,Lewis Harney (1995-1997)Dominic Holmes (2007)Rob Mallard (2016 to present),19a Victoria Street,Medium,Lawrence Cunningham (half-brother)Peter Barlow (half-brother)Susan Barlow (half-sister)Tracy McDonald (adoptive half-sister),Education,Sinead Tinker (2019),1995-01-04,,1995-01-04,,Exit,1997-06-30,1995-01-04,1,2
Daniel Osbourne,Weatherfield,Bertie Osbourne (2019),"1995-1997, 2007, 2016 to present",Ken Barlow,Male,Denise Osbourne,1173 (as of Episode 11557/8),Teacher and journalist,Lewis Harney (1995-1997)Dominic Holmes (2007)Rob Mallard (2016 to present),19a Victoria Street,Medium,Lawrence Cunningham (half-brother)Peter Barlow (half-brother)Susan Barlow (half-sister)Tracy McDonald (adoptive half-sister),Education,Sinead Tinker (2019),1995-01-04,,1995-01-04,,Alive,2025-06-30,2016-06-30,2,2
Danny Baldwin,,Jamie Baldwin (1980)  Warren Baldwin (1986),2004-2006,Mike Baldwin,Male,Viv Baldwin,392,Businessman,Bradley Walsh,,High,Mark Redman (half-brother)Adam Barlow (half-brother),Financial & insurance activities,Carol Baldwin (1979)  Frankie Baldwin (1986),1960-05-20,,2004-05-31,2006-12-31,Exit,2006-12-31,2004-05-31,1,1
Danny Hargreaves,,,1999-2001,,Male,,148,Market trader,Richard Standing,Nottingham,Low,Kieran Hargreaves,"Wholesale, retail & repair of motor vehicles",,,,1999-04-28,2001-04-22,Exit,2001-04-22,1999-04-28,1,1
Darryl Morton,,,2007-2009,Jerry Morton,Male,Teresa Bryant,219,Shop manager,Jonathan Dixon,Spain,Medium,Jodie Morton  Mel Morton  Kayleigh Morton  Finlay Bryant (half-brother),"Wholesale, retail & repair of motor vehicles",,1989-04-10,,2007-03-18,2009-10-16,Exit,2009-10-16,2007-03-18,1,1
David Barlow,Weatherfield,Darren Barlow (1968),"1960-1961, 1963, 1964-1968",Frank Barlow,Male,Ida Barlow,251,Footballer,Alan Rothwell,,Medium,Ken Barlow,Other services,Irma Ogden (1965),1942-07-04,1970-04-08,1960-12-09,1968-04-10,Exit,1961-06-30,1960-12-09,1,2
David Barlow,Weatherfield,Darren Barlow (1968),"1960-1961, 1963, 1964-1968",Frank Barlow,Male,Ida Barlow,251,Footballer,Alan Rothwell,,Medium,Ken Barlow,Other services,Irma Ogden (1965),1942-07-04,1970-04-08,1960-12-09,1968-04-10,Exit,1968-04-10,1963-06-30,2,2
David Platt,Weatherfield,Lily Platt (2013)Max Turner (legal son),1990 to present,Martin Platt,Male,Gail Chadwick,3135 (as of Episode 11557/8),Hairdresser,Thomas Ormson (1990-2000)Jack P. Shepherd (2000 to present),8 Coronation Street,Low,Nick Tilsley (half-brother)Sarah Platt (half-sister)Charlotte Platt (half-sister),Other services,Kylie Turner (2011)Shona Ramsey (2019),1990-12-25,,1990-12-26,,Alive,2025-06-30,1990-12-26,1,1
Debbie Webster,,,"1984-1985, 2019, 2020 to present",Bill Webster,Female,Alison Webster,451 (as of Episode 11557/8),Hotelier and restaurateur,Sue Devaney,,High,Kevin Webster  Carl Webster (half-brother),Accommodation & food services,,1968-09-07,,1984-06-11,,Exit,1985-06-30,1984-06-11,1,2
Debbie Webster,,,"1984-1985, 2019, 2020 to present",Bill Webster,Female,Alison Webster,451 (as of Episode 11557/8),Hotelier and restaurateur,Sue Devaney,,High,Kevin Webster  Carl Webster (half-brother),Accommodation & food services,,1968-09-07,,1984-06-11,,Alive,2025-06-30,2019-06-30,2,2
Debs Brownlow,,,2000,,Female,,75,Hairdresser,Gabrielle Glaister,,Low,Natalie Barnes,Other services,,,,2000-02-06,2000-11-10,Exit,2000-11-10,2000-02-06,1,1
Dee-Dee Bailey,,Laila Bailey (2025),2022 to present,Ed Bailey,Female,Aggie Bailey,429 (as of Episode 11557/8),Solicitor at Barlow Legal Services,Channique Sterling-Brown,15a Coronation Street,High,Michael Bailey  James Bailey,"Professional, scientific & technical activities",,1995-07-14,,2022-09-28,,Alive,2025-06-30,2022-09-28,1,1
Deirdre Barlow,Weatherfield,Tracy McDonald (1977),"1972, 1973-2014",Donald Hunt,Female,Blanche Hunt,3346,Receptionist,Anne Kirkbride,,Low,,Administrative & support services,"Ray Langton (1975)Ken Barlow (1981, 2005)Samir Rachid (1994)",1955-07-08,2015-07-08,1972-11-20,2014-10-08,Death,2015-07-08,1972-11-20,1,1
Denise Osbourne,,Daniel Osbourne (1995),"1992-1997, 2007, 2017",Roy,Female,Irene,289,Hairdresser,Denise Black,Manchester,Low,Alison Dunkley,Other services,Frank Osbourne (1981)  Neil Mitchell (1990),1955-12-01,,1992-12-04,2017-06-09,Exit,1997-06-30,1992-12-04,1,2
Denise Osbourne,,Daniel Osbourne (1995),"1992-1997, 2007, 2017",Roy,Female,Irene,289,Hairdresser,Denise Black,Manchester,Low,Alison Dunkley,Other services,Frank Osbourne (1981)  Neil Mitchell (1990),1955-12-01,,1992-12-04,2017-06-09,Exit,2017-06-09,2017-06-08,2,2
Dennis Stringer,,,2000-2002,,Male,,167,Mechanic,Charles Dale,,Low,,"Wholesale, retail & repair of motor vehicles",Carol,,2002-01-02,2000-02-07,2002-01-02,Death,2002-01-02,2000-02-07,1,1
Dennis Tanner,"11 Coronation Street,Weatherfield",,"1960-1962, 1963-1968, 2011-2014",Arnold Tanner,Male,Elsie Tanner,677,,Philip Lowrie,,,Linda Cheveski,,Jenny Sutton (1968)Rita Sullivan (2012),1942-04-01,2020-12-01,1960-12-09,2014-07-30,Exit,1968-06-30,1960-12-09,1,2
Dennis Tanner,"11 Coronation Street,Weatherfield",,"1960-1962, 1963-1968, 2011-2014",Arnold Tanner,Male,Elsie Tanner,677,,Philip Lowrie,,,Linda Cheveski,,Jenny Sutton (1968)Rita Sullivan (2012),1942-04-01,2020-12-01,1960-12-09,2014-07-30,Exit,2014-07-30,2011-06-30,2,2
Derek Wilton,Harrogate,,"1976, 1977, 1978, 1979, 1982, 1984, 1985, 1986, 1987, 1988-1997",Lionel Wilton,Male,Amy Wilton,726,Salesman,Peter Baldwin,,Medium,Edith Wilton  Doreen Wilton,"Wholesale, retail & repair of motor vehicles",Angela Hawthorne (1985)  Mavis Riley (1988),1936-08-07,1997-04-07,1976-02-23,1997-04-07,Exit,1979-06-30,1976-02-23,1,2
Derek Wilton,Harrogate,,"1976, 1977, 1978, 1979, 1982, 1984, 1985, 1986, 1987, 1988-1997",Lionel Wilton,Male,Amy Wilton,726,Salesman,Peter Baldwin,,Medium,Edith Wilton  Doreen Wilton,"Wholesale, retail & repair of motor vehicles",Angela Hawthorne (1985)  Mavis Riley (1988),1936-08-07,1997-04-07,1976-02-23,1997-04-07,Death,1997-04-07,1984-06-30,2,2
Des Barnes,Hartlepool,,1990-1998,Bob Barnes,Male,Pat Barnes,772,Bookmaker,Philip Middlemiss,,Medium,Colin Barnes,Other services,Stephanie Jones (1990)Natalie Horrocks (1998),1965-04-24,1998-11-18,1990-02-12,1998-11-18,Death,1998-11-18,1990-02-12,1,1
Dev Alahan,,ShareenAmber Kalirai (1991)Aadi Alahan (2006)Asha Alahan (2006)Two other children,1999 to present,Ranjiv Alahan,Male,Urmila Alahan,2063 (as of Episode 11557/8),"Owner of the Corner Shop, Prima Doner and For Your Fries Only",Jimmi Harkishin,7 Coronation Street,High,,Accommodation & food services,Sunita Parekh (2004),1964-03-02,,1999-11-10,,Alive,2025-06-30,1999-11-10,1,1
Dickie Fleming,,,1968-1970,Mr Fleming,Male,,117,Electrician,Nigel Humphreys,,Low,,Construction,Audrey Bright (1968),1949-07-17,,1968-06-05,1970-05-06,Exit,1970-05-06,1968-06-05,1,1
Diggory Compton,,Molly Dobbs (1984),2005-2006,,Male,,50,Baker,Eric Potts,Swettenham,Low,Pam Hobsworth,Manufacturing,,,,2005-02-02,2006-07-17,Exit,2006-07-17,2005-02-02,1,1
Don Brennan,Weatherfield,Margaret Brennan  Eileen Brennan  Gordon Brennan,1987-1997,Michael Brennan,Male,Bridget Brennan,735,Taxi driver,Geoff Hinsliff,,Low,Maureen Brennan,Transport & storage,Pat O'Connor (1958)  Ivy Tilsley (1988),1937-11-30,1997-10-08,1987-09-07,1997-10-08,Death,1997-10-08,1987-09-07,1,1
Doreen Fenwick,,,2007,,Female,,51,Exotic dancer (retired),Barbara Young,32 Jubilee View,Low,,Other services,Harold Thompson (1963)  Tommy Fenwick (1990),1939-10-01,,2007-02-05,2007-12-02,Exit,2007-12-02,2007-02-05,1,1
Doreen Heavey,,Maxine Heavey (1975),"1999, 2002-2003, 2004",,Female,,75,Beautician,Prunella Gee,2 Douglas Road,Low,Valerie,Other services,Derek Heavey (1972),1953-01-13,,1999-07-02,2004-11-08,Exit,1999-07-03,1999-07-02,1,2
Doreen Heavey,,Maxine Heavey (1975),"1999, 2002-2003, 2004",,Female,,75,Beautician,Prunella Gee,2 Douglas Road,Low,Valerie,Other services,Derek Heavey (1972),1953-01-13,,1999-07-02,2004-11-08,Exit,2004-11-08,2002-06-30,2,2
Doreen Lostock,,,"1961, 1962-1963",Jack Lostock,Female,Amy Lostock,145,Shop assistant,Angela Crow,,Low,A brother  A sister,"Wholesale, retail & repair of motor vehicles",,1941-02-01,,1961-01-18,1963-10-02,Exit,1963-10-02,1961-01-18,1,1
Doug Murray,,,1992-1993,,Male,,62,Businessman,Brian Hibbard,,High,Jean Forbes,Financial & insurance activities,,,,1992-10-23,1993-06-18,Exit,1993-06-18,1992-10-23,1,1
Duggie Ferguson,,Tom Ferguson (1980),1999-2002,,Male,,252,Businessman,John Bowe,,High,,Financial & insurance activities,Laura Ferguson,,2002-02-04,1999-10-15,2002-02-06,Death,2002-02-04,1999-10-15,1,1
Dylan Wilson,Rovers Return Inn,,"2008, 2011, 2012, 2020, 2021, 2022 to present",Sean Tully,Male,Violet Wilson,202 (as of Episode 11557/8),,"Charlie Corry (2008)Grace Robinson (2008)Connor McCheyne (2011-2012)Liam McCheyne (2011-2012, 2020-)","Flat 2, Weatherfield Precinct",,,,,2008-02-22,,2008-02-22,,Exit,2008-06-30,2008-02-22,1,3
Dylan Wilson,Rovers Return Inn,,"2008, 2011, 2012, 2020, 2021, 2022 to present",Sean Tully,Male,Violet Wilson,202 (as of Episode 11557/8),,"Charlie Corry (2008)Grace Robinson (2008)Connor McCheyne (2011-2012)Liam McCheyne (2011-2012, 2020-)","Flat 2, Weatherfield Precinct",,,,,2008-02-22,,2008-02-22,,Exit,2012-06-30,2011-06-30,2,3
Dylan Wilson,Rovers Return Inn,,"2008, 2011, 2012, 2020, 2021, 2022 to present",Sean Tully,Male,Violet Wilson,202 (as of Episode 11557/8),,"Charlie Corry (2008)Grace Robinson (2008)Connor McCheyne (2011-2012)Liam McCheyne (2011-2012, 2020-)","Flat 2, Weatherfield Precinct",,,,,2008-02-22,,2008-02-22,,Alive,2025-06-30,2020-06-30,3,3
Ed Bailey,,Michael BaileyDiana Bailey (1995)James Bailey,2019 to present,Sarge Bailey,Male,,460 (as of Episode 11557/8),Builder,Trevor Michael Georges,3 Coronation Street,Low,Ronnie Bailey,Construction,Aggie Bailey (1990),1964-09-20,,2019-06-10,,Alive,2025-06-30,2019-06-10,1,1
Eddie Windass,,Gary Windass (1986),2008-2011,,Male,,187,Taxi driver,Steve Huison,Hamburg,Low,Len Windass,Transport & storage,Anna Windass (common-law),,,2008-11-14,2011-04-25,Exit,2011-04-25,2008-11-14,1,1
Eddie Yeats,Liverpool,Dawn Yeats (1984),"1974-1975, 1976-1983, 1987",,Male,,511,Binman,Geoffrey Hughes,Bury,Low,,Administrative & support services,Marion Willis (1983),1941-08-22,,1974-12-23,1987-12-02,Exit,1983-06-30,1974-12-23,1,2
Eddie Yeats,Liverpool,Dawn Yeats (1984),"1974-1975, 1976-1983, 1987",,Male,,511,Binman,Geoffrey Hughes,Bury,Low,,Administrative & support services,Marion Willis (1983),1941-08-22,,1974-12-23,1987-12-02,Exit,1987-12-02,1987-06-30,2,2
Edna Miller,,,"1998, 2000-2001",,Female,,50,Factory workerBarmaid,Joan Kempson,,Low,Iris Merry,Manufacturing,Leslieplus 2 more husbands,1952-09-01,2001-09-19,1998-06-24,2001-09-19,Exit,1998-06-30,1998-06-24,1,2
Edna Miller,,,"1998, 2000-2001",,Female,,50,Factory workerBarmaid,Joan Kempson,,Low,Iris Merry,Manufacturing,Leslieplus 2 more husbands,1952-09-01,2001-09-19,1998-06-24,2001-09-19,Death,2001-09-19,2000-06-30,2,2
Effie Spicer,Accrington,,1968-1969,,Female,,43,Retired,Anne Dyson,,Low,A sister,Other services,Peter Spicer (deceased),1900-01-30,,1968-06-26,1969-03-26,Exit,1969-03-26,1968-06-26,1,1
Eileen Grimshaw,,Jason Grimshaw (1983)  Todd Grimshaw (1985),2000 to present,Colin Grimshaw,Female,,2422 (as of Episode 11557/8),Switch operator at Street Cars  Office administrator,Sue Cleaver,11 Coronation Street,Low,Julie Carp (half-sister),Administrative & support services,Pat Phelan (2017),1961-10-07,,2000-05-03,,Alive,2025-06-30,2000-05-03,1,1
Elaine Jones,,Tim Metcalfe (1972),2020-2023,,Female,,185,Former waitress and shop assistant,Paula Wilcox,4 Coronation Street,Low,A brother,Accommodation & food services,Geoff Metcalfe (1971),1951-10-11,,2020-07-20,2023-10-23,Exit,2023-10-23,2020-07-20,1,1
Eliza Woodrow,,,2022-2024,Dom Everett,Female,Bridget Woodrow,90,,Savannah Kunyo,"Hamburg, Germany",,Ben Everett (half-brother),,,2011-05-19,,2022-08-24,2024-04-17,Exit,2024-04-17,2022-08-24,1,1
Elsie Tanner,"18 Gas Street,Weatherfield",Linda Tanner (1940)Dennis Tanner (1942),"1960-1973, 1976-1984",Arthur Grimshaw,Female,Alice Grimshaw,1606,Retail clerk,Patricia Phoenix,,Low,Fay ButlerPhyllis BaileyEthel GrimshawConnie GrimshawIris GrimshawFreda GrimshawNancy GrimshawPolly GrimshawJack Grimshaw  Unnamed stillborn brother,"Wholesale, retail & repair of motor vehicles",Arnold Tanner (1939)Stephen Tanner (1967)Alan Howard (1970) William Gregory (1984),1923-03-05,2004-06-01,1960-12-09,1984-01-04,Exit,1973-06-30,1960-12-09,1,2
